ISLAND,ISLAND ID,KB ID #,BAG ID,YEAR,DATE,morph,sex,substrate_type,Distance to refuge (cm),# refugia,Nearest refuge type,Perch height,% open ground,% shrub cover,% herbaceous veg,% tree cover,% stream,Nearest veg height (cm),Nearest veg type,"Light (1,2,3)","Particle size (1,2,3)",% RHumidity,Air temp,Twig width,General Notes,gps_lat,gps_long,elevation_m
andros,211,,F1,2022,2022.06.06,o,m,wall,38,many walls,grass,37,40,10,50,-,-,10,grass,2,3,47.3,31.8,,,,,
andros,212,,D1,2022,2022.06.06,y,m,wall,,,wall,,,,,,,,,,,39.8,34.5,,,,,
andros,213,,H10,2022,2022.06.06,wy,m,wall,10,8,grass,15,60,-,40,-,-,11,grass,2,3,40.5,32.8,,,,,
andros,214,,G8,2022,2022.06.06,w,m,cement,12,1,hole,0,100,-,-,-,-,2,grass,3,3,45,31.1,,,,,
andros,215,,G3,2022,2022.06.06,w,m,wall,10,many walls,wall,21,65,5,30,-,-,2,grass,1,3,43,32,,,,,
andros,216,,B4,2022,2022.06.06,w,m,wall,,,,,,,,,,,,,,41,32,,,,,
andros,217,,B5,2022,2022.06.06,o,m,wall,,,,,,,,,,,,,,48.1,32.5,,,,,
andros,218,,A6,2022,2022.06.06,w,m,wall,,,,,,,,,,,,,,41.5,33.6,,,,,
andros,219,,A7,2022,2022.06.06,o,m,rock,,,,,,,,,,,,,,48.8,30.1,,,,,
andros,220,,C4,2022,2022.06.06,w,f,wall,12,many walls,wall,68,10,10,80,-,-,600,shrub,2,3,,,,,,,
andros,221,,A1,2022,2022.06.06,w,m,,,,,,,,,,,,,,,,,,,,,
andros,222,,G1,2022,2022.06.06,w,m,,,,,,,,,,,,,,,,,,,,,
andros,223,,G5,2022,2022.06.06,w,m,,,,,,,,,,,,,,,,,,,,,
andros,224,,G4,2022,2022.06.06,w,f,wall,15,5,grass,19,,,,,,,,3,3,38.9,34.5,,,,,
andros,225,,D2,2022,2022.06.07,w,f,wall,4,many walls,wall,25,70,25,5,-,-,15,shrub,1,3,54,24.3,,,,,
andros,226,,B6,2022,2022.06.07,w,m,wall,5,many walls,wall,45,95,-,5,-,-,4,grass,1,3,52.3,24.4,,,,,
andros,227,,D3,2022,2022.06.07,w,m,wall,3,many walls,wall,40,85,15,-,-,-,41,shrub,1,3,51,25.4,,,,,
andros,228,,A2,2022,2022.06.07,w,f,wall,4,many walls,wall,40,90,10,-,-,-,43,shrub,1,3,52,23.9,,,,,
andros,229,,A3,2022,2022.06.07,w,m,wall,15,many walls,wall,55,95,-,-,5,-,505,tree,1,3,,,,,,,
andros,230,,B11,2022,2022.06.07,w,m,wall,11,many walls,wall,36,95,-,5,-,-,2,grass,1,3,45.8,26.4,,,,,
andros,231,,F3,2022,2022.06.07,w,m,wall,6,many walls,wall,35,100,-,-,-,-,5,grass,1,3,44.1,26.1,,,,,
andros,232,,E9,2022,2022.06.07,w,f,wall,1,5,shrub,14,50,40,10,-,-,,,,,45,27.5,,,,,
andros,233,,A4,2022,2022.06.07,w,m,wall,21,4,wall,36,75,25,-,-,-,,,,,42.1,27.4,,,,,
andros,234,,B7,2022,2022.06.07,w,,,,,,,,,,,,,,,,,,,,,,
andros,235,,B10,2022,2022.06.07,w,m,wall,5,many walls,wall,50,80,20,-,-,-,407,shrub,2,3,47.8,27.3,,,,,
andros,236,,B9,2022,2022.06.07,w,m,wall,,,,,,,,,,,,,,,,,,,,
andros,237,,C5,2022,2022.06.07,w,f,wall,31,2,herb veg,42,75,-,25,-,-,55,grass,1,3,,,,,,,
andros,238,,C7,2022,2022.06.07,w,f,,,,,,,,,,,,,,,,,,,,,
andros,239,,F4,2022,2022.06.07,y,f,,,,,,,,,,,,,,,,,,,,,
andros,240,,F5,2022,2022.06.07,w,f,,,,,,,,,,,,,,,,,,,,,
andros,241,,F7,2022,2022.06.08,w,m,,,,,,,,,,,,,,,,,,,,,
andros,242,,D4,2022,2022.06.08,wy,f,,,,,,,,,,,,,,,,,,,,,
andros,243,,F2,2022,2022.06.08,o,m,,,,,,,,,,,,,,,,,,,,,
andros,244,,F6,2022,2022.06.08,w,m,,,,,,,,,,,,,,,,,,,,,
andros,245,,C8,2022,2022.06.08,w,f,,,,,,,,,,,,,,,,,,,,,
andros,246,,S1,2022,2022.06.08,w,m,,,,,,,,,,,,,,,,,,,,,
andros,247,,S2,2022,2022.06.08,w,m,,,,,,,,,,,,,,,,,,,,,
andros,248,,S3,2022,2022.06.08,w,m,,,,,,,,,,,,,,,,,,,,,
andros,249,,S4,2022,2022.06.08,w,,,,,,,,,,,,,,,,,,,,,,
andros,250,,S5,2022,2022.06.08,w,f,,,,,,,,,,,,,,,,,,,,,
andros,251,,D5,2022,2022.06.08,w,f,,,,,,,,,,,,,,,,,,,,,
